model,coupling,field,temperature,runtime_seconds,runtime_ratio_vs_model_1,transient_rmse_vs_model_1,steady_state_bias_vs_model_1,convergence_time,convergence_time_diff_vs_model_1,variance_mismatch_vs_model_1
model_1,0.1,-0.4,0.6,2.381005324423313e-05,1.0,0.0,0.0,1,0.0,0.0
model_2,0.1,-0.4,0.6,4.735998809337617e-05,1.9890752703313213,0.11974551125316624,0.12430153589852805,1,0,7.08782737284639e-05
model_3,0.1,-0.4,0.6,0.0006490599364042281,27.25991117056542,0.1499044473431656,0.12431208640731034,2,1,0.0008365706454399427
model_4,0.1,-0.4,0.6,0.12902286006137728,5418.83962786295,0.09455428036702736,-0.14626554606902675,3,2,0.0011492244986552424
model_5,0.1,-0.4,0.6,0.00021795993670821188,9.154113788510845,0.05626612170874825,0.06288926257730088,1,0,3.255800335518111e-10
model_1,0.1,-0.4,1.2999999999999998,2.4250010028481483e-05,1.0,0.0,0.0,1,0.0,0.0
model_2,0.1,-0.4,1.2999999999999998,4.7219963744282725e-05,1.947214194502319,0.07790003634109278,0.08559779677200899,1,0,1.9927057148361995e-05
model_3,0.1,-0.4,1.2999999999999998,0.0007237399928271771,29.844935815579007,0.08712423055568423,0.08559984668015463,1,0,0.0007208415322934494
model_4,0.1,-0.4,1.2999999999999998,0.10785082005895676,4447.454658051137,0.03505458810884942,-0.052942399988166355,2,1,0.0008541912055537633
model_5,0.1,-0.4,1.2999999999999998,0.0002496299799531698,10.29401553483817,0.046633562576863706,-0.05214521189457949,1,0,1.4798161172279794e-10
model_1,0.1,-0.4,2.0,2.8209947049617768e-05,1.0,0.0,0.0,1,0.0,0.0
model_2,0.1,-0.4,2.0,7.695001550018787e-05,2.727761784339489,0.05425635960125173,0.06034174476880924,0,-1,8.800047773348224e-06
model_3,0.1,-0.4,2.0,0.000803069956600666,28.467616588863724,0.05721409046084984,0.060342295482904984,0,-1,0.0006795210425376422
model_4,0.1,-0.4,2.0,0.11140916012227534,3949.286396260176,0.015924388775934387,-0.023601927733080036,1,0,0.0007094640280207746
