model,coupling,field,temperature,seed,initial_up_count,initial_up_fraction,t,m,runtime_seconds
model_1,0.1,-0.4,0.6,1,3,0.5,10,-0.5827829453479102,2.1200161427259445e-05
model_2,0.1,-0.4,0.6,1,3,0.5,0,0.0,4.3600331991910934e-05
model_2,0.1,-0.4,0.6,1,3,0.5,1,-0.4173216500588712,4.3600331991910934e-05
model_2,0.1,-0.4,0.6,1,3,0.5,2,-0.45486187200136213,4.3600331991910934e-05
model_2,0.1,-0.4,0.6,1,3,0.5,3,-0.45816371889511726,4.3600331991910934e-05
model_2,0.1,-0.4,0.6,1,3,0.5,4,-0.458453530504771,4.3600331991910934e-05
model_2,0.1,-0.4,0.6,1,3,0.5,5,-0.4584789633637439,4.3600331991910934e-05
model_2,0.1,-0.4,0.6,1,3,0.5,6,-0.4584811952271566,4.3600331991910934e-05
model_2,0.1,-0.4,0.6,1,3,0.5,7,-0.45848139108430647,4.3600331991910934e-05
model_2,0.1,-0.4,0.6,1,3,0.5,8,-0.45848140827174655,4.3600331991910934e-05
model_2,0.1,-0.4,0.6,1,3,0.5,9,-0.45848140978003,4.3600331991910934e-05
model_2,0.1,-0.4,0.6,1,3,0.5,10,-0.45848140991238934,4.3600331991910934e-05
model_3,0.1,-0.4,0.6,1,3,0.5,0,0.0,0.0005529997870326042
model_3,0.1,-0.4,0.6,1,3,0.5,1,-0.32091574454969857,0.0005529997870326042
model_3,0.1,-0.4,0.6,1,3,0.5,2,-0.4173552633229763,0.0005529997870326042
model_3,0.1,-0.4,0.6,1,3,0.5,3,-0.4461977296316954,0.0005529997870326042
model_3,0.1,-0.4,0.6,1,3,0.5,4,-0.4548133366556022,0.0005529997870326042
model_3,0.1,-0.4,0.6,1,3,0.5,5,-0.4573861371772574,0.0005529997870326042
model_3,0.1,-0.4,0.6,1,3,0.5,6,-0.45815436972238627,0.0005529997870326042
model_3,0.1,-0.4,0.6,1,3,0.5,7,-0.4583837582372525,0.0005529997870326042
model_3,0.1,-0.4,0.6,1,3,0.5,8,-0.4584522518152239,0.0005529997870326042
model_3,0.1,-0.4,0.6,1,3,0.5,9,-0.45847270349363717,0.0005529997870326042
model_3,0.1,-0.4,0.6,1,3,0.5,10,-0.4584788102316945,0.0005529997870326042
model_4,0.1,-0.4,0.6,1,3,0.5,0,0.0,0.16010079998522997
model_4,0.1,-0.4,0.6,1,3,0.5,1,-0.49029722768838174,0.16010079998522997
model_4,0.1,-0.4,0.6,1,3,0.5,2,-0.6513961879435288,0.16010079998522997
model_4,0.1,-0.4,0.6,1,3,0.5,3,-0.7038199957792398,0.16010079998522997
model_4,0.1,-0.4,0.6,1,3,0.5,4,-0.7208661185289965,0.16010079998522997
model_4,0.1,-0.4,0.6,1,3,0.5,5,-0.7264109929881944,0.16010079998522997
model_4,0.1,-0.4,0.6,1,3,0.5,6,-0.7282154824075074,0.16010079998522997
model_4,0.1,-0.4,0.6,1,3,0.5,7,-0.7288029292829096,0.16010079998522997
model_4,0.1,-0.4,0.6,1,3,0.5,8,-0.7289942181716947,0.16010079998522997
model_4,0.1,-0.4,0.6,1,3,0.5,9,-0.7290565176070363,0.16010079998522997
model_4,0.1,-0.4,0.6,1,3,0.5,10,-0.7290768097600191,0.16010079998522997
model_5,0.1,-0.4,0.6,1,3,0.5,0,0.0,0.00021150009706616402
model_5,0.1,-0.4,0.6,1,3,0.5,1,-0.5198037287914247,0.00021150009706616402
model_5,0.1,-0.4,0.6,1,3,0.5,2,-0.5198936672064304,0.00021150009706616402
model_5,0.1,-0.4,0.6,1,3,0.5,3,-0.5198936827679165,0.00021150009706616402
model_5,0.1,-0.4,0.6,1,3,0.5,4,-0.519893682770609,0.00021150009706616402
model_5,0.1,-0.4,0.6,1,3,0.5,5,-0.5198936827706093,0.00021150009706616402
model_5,0.1,-0.4,0.6,1,3,0.5,6,-0.5198936827706093,0.00021150009706616402
model_5,0.1,-0.4,0.6,1,3,0.5,7,-0.5198936827706093,0.00021150009706616402
model_5,0.1,-0.4,0.6,1,3,0.5,8,-0.5198936827706093,0.00021150009706616402
model_5,0.1,-0.4,0.6,1,3,0.5,9,-0.5198936827706093,0.00021150009706616402
