source_coupling,source_field,source_temperature,target_coupling,target_field,target_temperature,fit_error
0.2,-0.4,0.6,0.2,-0.4,0.6,0.03229966347023793
0.2,-0.4,0.95,0.2,-0.4,0.95,0.015268494133615656
0.2,-0.4,1.2999999999999998,0.2,-0.4,1.2999999999999998,0.008866826637019463
0.2,-0.4,1.65,0.2,-0.4,1.65,0.005958860173688674
0.2,-0.4,2.0,0.2,-0.4,2.0,0.004395919760251337
0.2,-0.2,0.6,0.2,-0.4,1.2999999999999998,0.011048130995339682
0.2,-0.2,0.95,0.2,-0.4,1.65,0.004837429524008364
0.2,-0.2,1.2999999999999998,0.2,-0.2,1.2999999999999998,0.0031267108614907698
0.2,-0.2,1.65,0.2,-0.2,1.65,0.002254041494200019
0.2,-0.2,2.0,0.2,-0.2,2.0,0.001792803605610085
0.2,0.0,0.6,0.2,0.0,2.0,0.0007137393651999988
0.2,0.0,0.95,0.2,0.0,2.0,0.0007137393651999988
0.2,0.0,1.2999999999999998,0.2,0.0,2.0,0.0007137393651999988
0.2,0.0,1.65,0.2,0.0,2.0,0.0007137393651999988
0.2,0.0,2.0,0.2,0.0,2.0,0.0007137393651999988
0.2,0.20000000000000007,0.6,0.2,0.4,1.2999999999999998,0.009014537014436283
0.2,0.20000000000000007,0.95,0.2,0.4,2.0,0.00383453581891323
0.2,0.20000000000000007,1.2999999999999998,0.2,0.20000000000000007,1.2999999999999998,0.0022655862993139772
0.2,0.20000000000000007,1.65,0.2,0.20000000000000007,1.65,0.001570164913435638
0.2,0.20000000000000007,2.0,0.2,0.20000000000000007,2.0,0.0012267732670153846
0.2,0.4,0.6,0.2,0.4,0.6,0.028999664107995007
0.2,0.4,0.95,0.2,0.4,0.95,0.013028684812951602
0.2,0.4,1.2999999999999998,0.2,0.4,1.2999999999999998,0.00717837481235952
0.2,0.4,1.65,0.2,0.4,1.65,0.004609443689679244
0.2,0.4,2.0,0.2,0.4,2.0,0.0032746432784193456
0.45,-0.4,0.6,0.2,-0.4,0.6,0.03229966347023793
0.45,-0.4,0.95,0.2,-0.4,0.95,0.015268494133615656
