source_coupling,source_field,source_temperature,target_coupling,target_field,target_temperature,fit_error
0.2,-0.4,0.6,0.45,-0.4,0.6,0.003302263124562783
0.2,-0.4,0.95,0.2,-0.2,0.6,0.0005479493147833598
0.2,-0.4,1.2999999999999998,0.45,-0.4,1.65,0.0002539342399795534
0.2,-0.4,1.65,0.45,-0.4,2.0,0.00022541956653237687
0.2,-0.4,2.0,0.2,-0.2,1.2999999999999998,0.00012108507967136502
0.2,-0.2,0.6,0.2,-0.4,1.2999999999999998,0.0006165281762303516
0.2,-0.2,0.95,0.2,-0.4,2.0,0.00013747753296985727
0.2,-0.2,1.2999999999999998,0.45,-0.2,1.65,0.00012675554966690665
0.2,-0.2,1.65,0.45,-0.2,2.0,8.073696618103453e-05
0.2,-0.2,2.0,0.2,-0.2,2.0,0.0001528366108907507
0.2,0.0,0.6,0.45,0.0,2.0,4.096837790905113e-06
0.2,0.0,0.95,0.2,0.0,0.95,1.8968409261224058e-06
0.2,0.0,1.2999999999999998,0.2,0.0,1.2999999999999998,8.404296929657926e-07
0.2,0.0,1.65,0.2,0.0,1.2999999999999998,3.83085586583234e-09
0.2,0.0,2.0,0.2,0.0,1.2999999999999998,4.5289897992727104e-07
0.2,0.20000000000000007,0.6,0.2,0.4,1.2999999999999998,0.000645487304644308
0.2,0.20000000000000007,0.95,0.2,0.4,2.0,0.00012343661494882026
0.2,0.20000000000000007,1.2999999999999998,0.45,0.20000000000000007,1.65,0.00013159286068818303
0.2,0.20000000000000007,1.65,0.45,0.20000000000000007,2.0,9.565198809034753e-05
0.2,0.20000000000000007,2.0,0.2,0.20000000000000007,2.0,0.00013267395776630638
0.2,0.4,0.6,0.45,0.4,0.6,0.0034406031386778604
0.2,0.4,0.95,0.2,0.20000000000000007,0.6,0.0005552171022447499
0.2,0.4,1.2999999999999998,0.45,0.4,1.65,0.00026251007416144286
0.2,0.4,1.65,0.45,0.4,2.0,0.0002511699853883082
0.2,0.4,2.0,0.2,0.20000000000000007,1.2999999999999998,0.00011777384759220889
0.45,-0.4,0.6,0.2,-0.4,0.6,0.0010964569676778532
