source_coupling,source_field,source_temperature,target_coupling,target_field,target_temperature,fit_error
0.2,-0.4,0.6,0.45,-0.4,0.95,0.0028261220583004213
0.2,-0.4,0.95,0.45,-0.4,1.2999999999999998,0.0012674796488967247
0.2,-0.4,1.2999999999999998,0.45,-0.4,1.65,0.0005377293871413015
0.2,-0.4,1.65,0.45,-0.4,2.0,0.00024938004525936516
0.2,-0.4,2.0,0.2,-0.4,2.0,0.00039022449614246966
0.2,-0.2,0.6,0.45,-0.4,1.65,0.000454420728847472
0.2,-0.2,0.95,0.2,-0.4,2.0,0.00011012950161958543
0.2,-0.2,1.2999999999999998,0.45,-0.2,1.65,0.00019235177532750874
0.2,-0.2,1.65,0.45,-0.2,2.0,8.05408053540389e-05
0.2,-0.2,2.0,0.2,-0.2,2.0,0.00010710924710529108
0.2,0.0,0.6,0.2,0.0,2.0,2.1590594436217925e-07
0.2,0.0,0.95,0.2,0.0,2.0,2.1590594436217925e-07
0.2,0.0,1.2999999999999998,0.2,0.0,2.0,2.1590594436217925e-07
0.2,0.0,1.65,0.2,0.0,2.0,2.1590594436217925e-07
0.2,0.0,2.0,0.2,0.0,2.0,2.1590594436217925e-07
0.2,0.20000000000000007,0.6,0.45,0.4,1.65,0.000377648614315513
0.2,0.20000000000000007,0.95,0.2,0.4,2.0,0.00010719943648573962
0.2,0.20000000000000007,1.2999999999999998,0.7,0.20000000000000007,2.0,0.00014843687673786932
0.2,0.20000000000000007,1.65,0.45,0.20000000000000007,2.0,6.536434797224853e-05
0.2,0.20000000000000007,2.0,0.2,0.20000000000000007,2.0,0.00010737659833538303
0.2,0.4,0.6,0.45,0.4,0.95,0.002554832020974322
0.2,0.4,0.95,0.45,0.4,1.2999999999999998,0.0011599966217395819
0.2,0.4,1.2999999999999998,0.45,0.4,1.65,0.00048600145313119474
0.2,0.4,1.65,0.45,0.4,2.0,0.00022080397486582193
0.2,0.4,2.0,0.7,0.20000000000000007,1.65,0.0003710991638484203
0.45,-0.4,0.6,0.45,-0.4,0.95,0.0028261220583004213
0.45,-0.4,0.95,0.45,-0.4,1.2999999999999998,0.0012674796488967247
0.45,-0.4,1.2999999999999998,0.45,-0.4,1.65,0.0005377293871413015
0.45,-0.4,1.65,0.45,-0.4,2.0,0.00024938004525936516
0.45,-0.4,2.0,0.2,-0.4,2.0,0.00039022449614246966
0.45,-0.2,0.6,0.45,-0.4,1.65,0.000454420728847472
0.45,-0.2,0.95,0.2,-0.4,2.0,0.00011012950161958543
0.45,-0.2,1.2999999999999998,0.45,-0.2,1.65,0.00019235177532750874
0.45,-0.2,1.65,0.45,-0.2,2.0,8.05408053540389e-05
0.45,-0.2,2.0,0.2,-0.2,2.0,0.00010710924710529108
0.45,0.0,0.6,0.2,0.0,2.0,2.1590594436217925e-07
0.45,0.0,0.95,0.2,0.0,2.0,2.1590594436217925e-07
0.45,0.0,1.2999999999999998,0.2,0.0,2.0,2.1590594436217925e-07
0.45,0.0,1.65,0.2,0.0,2.0,2.1590594436217925e-07
0.45,0.0,2.0,0.2,0.0,2.0,2.1590594436217925e-07
0.45,0.20000000000000007,0.6,0.45,0.4,1.65,0.000377648614315513
0.45,0.20000000000000007,0.95,0.2,0.4,2.0,0.00010719943648573962
0.45,0.20000000000000007,1.2999999999999998,0.7,0.20000000000000007,2.0,0.00014843687673786932
0.45,0.20000000000000007,1.65,0.45,0.20000000000000007,2.0,6.536434797224853e-05
0.45,0.20000000000000007,2.0,0.2,0.20000000000000007,2.0,0.00010737659833538303
0.45,0.4,0.6,0.45,0.4,0.95,0.002554832020974322
0.45,0.4,0.95,0.45,0.4,1.2999999999999998,0.0011599966217395819
0.45,0.4,1.2999999999999998,0.45,0.4,1.65,0.00048600145313119474
0.45,0.4,1.65,0.45,0.4,2.0,0.00022080397486582193
0.45,0.4,2.0,0.7,0.20000000000000007,1.65,0.0003710991638484203
0.7,-0.4,0.6,0.45,-0.4,0.95,0.0028261220583004213
0.7,-0.4,0.95,0.45,-0.4,1.2999999999999998,0.0012674796488967247
0.7,-0.4,1.2999999999999998,0.45,-0.4,1.65,0.0005377293871413015
0.7,-0.4,1.65,0.45,-0.4,2.0,0.00024938004525936516
0.7,-0.4,2.0,0.2,-0.4,2.0,0.00039022449614246966
0.7,-0.2,0.6,0.45,-0.4,1.65,0.000454420728847472
0.7,-0.2,0.95,0.2,-0.4,2.0,0.00011012950161958543
0.7,-0.2,1.2999999999999998,0.45,-0.2,1.65,0.00019235177532750874
0.7,-0.2,1.65,0.45,-0.2,2.0,8.05408053540389e-05
0.7,-0.2,2.0,0.2,-0.2,2.0,0.00010710924710529108
0.7,0.0,0.6,0.2,0.0,2.0,2.1590594436217925e-07
0.7,0.0,0.95,0.2,0.0,2.0,2.1590594436217925e-07
0.7,0.0,1.2999999999999998,0.2,0.0,2.0,2.1590594436217925e-07
0.7,0.0,1.65,0.2,0.0,2.0,2.1590594436217925e-07
0.7,0.0,2.0,0.2,0.0,2.0,2.1590594436217925e-07
0.7,0.20000000000000007,0.6,0.45,0.4,1.65,0.000377648614315513
0.7,0.20000000000000007,0.95,0.2,0.4,2.0,0.00010719943648573962
0.7,0.20000000000000007,1.2999999999999998,0.7,0.20000000000000007,2.0,0.00014843687673786932
0.7,0.20000000000000007,1.65,0.45,0.20000000000000007,2.0,6.536434797224853e-05
0.7,0.20000000000000007,2.0,0.2,0.20000000000000007,2.0,0.00010737659833538303
0.7,0.4,0.6,0.45,0.4,0.95,0.002554832020974322
0.7,0.4,0.95,0.45,0.4,1.2999999999999998,0.0011599966217395819
0.7,0.4,1.2999999999999998,0.45,0.4,1.65,0.00048600145313119474
0.7,0.4,1.65,0.45,0.4,2.0,0.00022080397486582193
0.7,0.4,2.0,0.7,0.20000000000000007,1.65,0.0003710991638484203
0.95,-0.4,0.6,0.45,-0.4,0.95,0.0028261220583004213
0.95,-0.4,0.95,0.45,-0.4,1.2999999999999998,0.0012674796488967247
0.95,-0.4,1.2999999999999998,0.45,-0.4,1.65,0.0005377293871413015
0.95,-0.4,1.65,0.45,-0.4,2.0,0.00024938004525936516
0.95,-0.4,2.0,0.2,-0.4,2.0,0.00039022449614246966
0.95,-0.2,0.6,0.45,-0.4,1.65,0.000454420728847472
0.95,-0.2,0.95,0.2,-0.4,2.0,0.00011012950161958543
0.95,-0.2,1.2999999999999998,0.45,-0.2,1.65,0.00019235177532750874
0.95,-0.2,1.65,0.45,-0.2,2.0,8.05408053540389e-05
0.95,-0.2,2.0,0.2,-0.2,2.0,0.00010710924710529108
0.95,0.0,0.6,0.2,0.0,2.0,2.1590594436217925e-07
0.95,0.0,0.95,0.2,0.0,2.0,2.1590594436217925e-07
0.95,0.0,1.2999999999999998,0.2,0.0,2.0,2.1590594436217925e-07
0.95,0.0,1.65,0.2,0.0,2.0,2.1590594436217925e-07
0.95,0.0,2.0,0.2,0.0,2.0,2.1590594436217925e-07
0.95,0.20000000000000007,0.6,0.45,0.4,1.65,0.000377648614315513
0.95,0.20000000000000007,0.95,0.2,0.4,2.0,0.00010719943648573962
0.95,0.20000000000000007,1.2999999999999998,0.7,0.20000000000000007,2.0,0.00014843687673786932
0.95,0.20000000000000007,1.65,0.45,0.20000000000000007,2.0,6.536434797224853e-05
0.95,0.20000000000000007,2.0,0.2,0.20000000000000007,2.0,0.00010737659833538303
0.95,0.4,0.6,0.45,0.4,0.95,0.002554832020974322
0.95,0.4,0.95,0.45,0.4,1.2999999999999998,0.0011599966217395819
0.95,0.4,1.2999999999999998,0.45,0.4,1.65,0.00048600145313119474
0.95,0.4,1.65,0.45,0.4,2.0,0.00022080397486582193
0.95,0.4,2.0,0.7,0.20000000000000007,1.65,0.0003710991638484203
1.2,-0.4,0.6,0.45,-0.4,0.95,0.0028261220583004213
1.2,-0.4,0.95,0.45,-0.4,1.2999999999999998,0.0012674796488967247
1.2,-0.4,1.2999999999999998,0.45,-0.4,1.65,0.0005377293871413015
1.2,-0.4,1.65,0.45,-0.4,2.0,0.00024938004525936516
1.2,-0.4,2.0,0.2,-0.4,2.0,0.00039022449614246966
1.2,-0.2,0.6,0.45,-0.4,1.65,0.000454420728847472
1.2,-0.2,0.95,0.2,-0.4,2.0,0.00011012950161958543
1.2,-0.2,1.2999999999999998,0.45,-0.2,1.65,0.00019235177532750874
1.2,-0.2,1.65,0.45,-0.2,2.0,8.05408053540389e-05
1.2,-0.2,2.0,0.2,-0.2,2.0,0.00010710924710529108
1.2,0.0,0.6,0.2,0.0,2.0,2.1590594436217925e-07
1.2,0.0,0.95,0.2,0.0,2.0,2.1590594436217925e-07
1.2,0.0,1.2999999999999998,0.2,0.0,2.0,2.1590594436217925e-07
1.2,0.0,1.65,0.2,0.0,2.0,2.1590594436217925e-07
1.2,0.0,2.0,0.2,0.0,2.0,2.1590594436217925e-07
1.2,0.20000000000000007,0.6,0.45,0.4,1.65,0.000377648614315513
1.2,0.20000000000000007,0.95,0.2,0.4,2.0,0.00010719943648573962
1.2,0.20000000000000007,1.2999999999999998,0.7,0.20000000000000007,2.0,0.00014843687673786932
1.2,0.20000000000000007,1.65,0.45,0.20000000000000007,2.0,6.536434797224853e-05
1.2,0.20000000000000007,2.0,0.2,0.20000000000000007,2.0,0.00010737659833538303
1.2,0.4,0.6,0.45,0.4,0.95,0.002554832020974322
1.2,0.4,0.95,0.45,0.4,1.2999999999999998,0.0011599966217395819
1.2,0.4,1.2999999999999998,0.45,0.4,1.65,0.00048600145313119474
1.2,0.4,1.65,0.45,0.4,2.0,0.00022080397486582193
1.2,0.4,2.0,0.7,0.20000000000000007,1.65,0.0003710991638484203
