source_coupling,source_field,source_temperature,target_coupling,target_field,target_temperature,fit_error
0.2,-0.4,0.6,0.2,-0.4,0.6,0.05352993239578704
0.2,-0.4,0.95,0.2,-0.4,0.95,0.02419938633231516
0.2,-0.4,1.2999999999999998,0.2,-0.4,0.95,0.012368856448101932
0.2,-0.4,1.65,0.2,-0.4,1.2999999999999998,0.006828521500166728
0.2,-0.4,2.0,0.2,-0.4,1.65,0.00461488966882437
0.2,-0.2,0.6,0.2,-0.4,0.95,0.015951634378201143
0.2,-0.2,0.95,0.2,-0.4,1.2999999999999998,0.006256808394239667
0.2,-0.2,1.2999999999999998,0.2,-0.4,2.0,0.0031473938687010703
0.2,-0.2,1.65,0.2,-0.2,1.2999999999999998,0.0025224800683180497
0.2,-0.2,2.0,0.2,-0.2,1.65,0.0018512238447088518
0.2,0.0,0.6,0.2,0.0,2.0,0.000586879009858398
0.2,0.0,0.95,0.2,0.0,2.0,0.000660278824353496
0.2,0.0,1.2999999999999998,0.2,0.0,2.0,0.0006840640896210909
0.2,0.0,1.65,0.2,0.0,2.0,0.0006946966131290713
0.2,0.0,2.0,0.2,0.0,2.0,0.0007003758386015219
0.2,0.20000000000000007,0.6,0.2,0.4,0.95,0.01370093758291809
0.2,0.20000000000000007,0.95,0.2,0.4,1.65,0.005079429999930842
0.2,0.20000000000000007,1.2999999999999998,0.2,0.4,2.0,0.0024224330641668345
0.2,0.20000000000000007,1.65,0.2,0.20000000000000007,1.2999999999999998,0.0019856025043561774
0.2,0.20000000000000007,2.0,0.2,0.20000000000000007,1.65,0.0013706683013683964
0.2,0.4,0.6,0.2,0.4,0.6,0.048883940646938955
0.2,0.4,0.95,0.2,0.4,0.95,0.021168256001205983
0.2,0.4,1.2999999999999998,0.2,0.20000000000000007,0.6,0.010519210419800754
0.2,0.4,1.65,0.2,0.4,1.2999999999999998,0.005750770593061064
0.2,0.4,2.0,0.2,0.4,1.65,0.003657491132241402
0.45,-0.4,0.6,0.45,-0.4,0.6,0.09107753631762189
0.45,-0.4,0.95,0.2,-0.4,0.6,0.02285814111364011
0.45,-0.4,1.2999999999999998,0.2,-0.4,0.95,0.01279342935887517
0.45,-0.4,1.65,0.2,-0.4,1.2999999999999998,0.00807189496705715
0.45,-0.4,2.0,0.2,-0.4,1.65,0.0056310226687553856
0.45,-0.2,0.6,0.2,-0.4,0.6,0.02477901720051985
0.45,-0.2,0.95,0.2,-0.4,0.95,0.007808091183687582
0.45,-0.2,1.2999999999999998,0.2,-0.4,1.65,0.0035536491802981426
0.45,-0.2,1.65,0.2,-0.4,2.0,0.002671267182944901
0.45,-0.2,2.0,0.2,-0.2,1.65,0.0021226354592842906
0.45,0.0,0.6,0.2,0.0,2.0,0.00014174743234727363
0.45,0.0,0.95,0.2,0.0,2.0,0.0004689686119521933
0.45,0.0,1.2999999999999998,0.2,0.0,2.0,0.0005775773259026931
0.45,0.0,1.65,0.2,0.0,2.0,0.0006267204360697314
0.45,0.0,2.0,0.2,0.0,2.0,0.0006531526964453783
0.45,0.20000000000000007,0.6,0.2,0.4,0.6,0.02252392614416652
0.45,0.20000000000000007,0.95,0.2,0.4,0.95,0.007069719973791814
0.45,0.20000000000000007,1.2999999999999998,0.2,0.4,1.65,0.002786135317571865
0.45,0.20000000000000007,1.65,0.2,0.20000000000000007,1.2999999999999998,0.0020771187849770926
0.45,0.20000000000000007,2.0,0.2,0.20000000000000007,1.65,0.0014922270017183302
0.45,0.4,0.6,0.45,0.4,0.6,0.08433541085472566
0.45,0.4,0.95,0.2,0.4,0.6,0.020479255596633644
0.45,0.4,1.2999999999999998,0.2,0.4,0.95,0.010894174926365848
0.45,0.4,1.65,0.2,0.4,1.2999999999999998,0.0065634905755675025
0.45,0.4,2.0,0.2,0.4,1.65,0.004396169520540788
0.7,-0.4,0.6,0.7,-0.4,0.6,0.1208715821456584
