source_coupling,source_field,source_temperature,target_coupling,target_field,target_temperature,fit_error
0.2,-0.4,0.6,0.2,-0.4,0.6,0.04194023660311469
0.2,-0.4,0.95,0.2,-0.4,0.95,0.01791239891405121
0.2,-0.4,1.2999999999999998,0.2,-0.4,1.2999999999999998,0.009367074534225646
0.2,-0.4,1.65,0.2,-0.4,1.65,0.005801968883923798
0.2,-0.4,2.0,0.2,-0.4,2.0,0.004031092121001114
0.2,-0.2,0.6,0.2,-0.4,0.95,0.013194830706102242
0.2,-0.2,0.95,0.2,-0.4,1.65,0.004751485153807212
0.2,-0.2,1.2999999999999998,0.2,-0.2,1.2999999999999998,0.003277168082354681
0.2,-0.2,1.65,0.2,-0.2,1.65,0.002139431776253185
0.2,-0.2,2.0,0.2,-0.2,2.0,0.0015927617290721282
0.2,0.0,0.6,0.2,0.0,2.0,0.0004780180843434969
0.2,0.0,0.95,0.2,0.0,2.0,0.000546970241982915
0.2,0.0,1.2999999999999998,0.2,0.0,2.0,0.0005694806604099568
0.2,0.0,1.65,0.2,0.0,2.0,0.0005795697542781865
0.2,0.0,2.0,0.2,0.0,2.0,0.000584966179577146
0.2,0.20000000000000007,0.6,0.2,0.4,0.95,0.011576103913396382
0.2,0.20000000000000007,0.95,0.2,0.4,1.65,0.0037828093829031352
0.2,0.20000000000000007,1.2999999999999998,0.2,0.20000000000000007,1.2999999999999998,0.0024323271721727316
0.2,0.20000000000000007,1.65,0.2,0.20000000000000007,1.65,0.0015203381237631087
0.2,0.20000000000000007,2.0,0.2,0.20000000000000007,2.0,0.0011041695570424793
0.2,0.4,0.6,0.2,0.4,0.6,0.03790452247406219
0.2,0.4,0.95,0.2,0.4,0.95,0.015530535392644958
0.2,0.4,1.2999999999999998,0.2,0.4,1.2999999999999998,0.007754555880233688
0.2,0.4,1.65,0.2,0.4,1.65,0.00459487059012644
0.2,0.4,2.0,0.2,0.4,2.0,0.003069249057551827
0.45,-0.4,0.6,0.2,-0.4,0.6,0.07867727149935158
0.45,-0.4,0.95,0.2,-0.4,0.6,0.02575609132642522
0.45,-0.4,1.2999999999999998,0.2,-0.4,0.95,0.012501797905244175
0.45,-0.4,1.65,0.2,-0.4,1.2999999999999998,0.0068453722733727
0.45,-0.4,2.0,0.2,-0.4,1.65,0.00440848029532618
0.45,-0.2,0.6,0.2,-0.4,0.6,0.01816420043134139
0.45,-0.2,0.95,0.2,-0.4,1.2999999999999998,0.006641837415487121
0.45,-0.2,1.2999999999999998,0.2,-0.4,2.0,0.003278254179078934
0.45,-0.2,1.65,0.2,-0.2,1.2999999999999998,0.002477346167462649
0.45,-0.2,2.0,0.2,-0.2,1.65,0.0016993314489223345
0.45,0.0,0.6,0.2,0.0,2.0,8.682185696957716e-05
0.45,0.0,0.95,0.2,0.0,2.0,0.00036910877849971705
0.45,0.0,1.2999999999999998,0.2,0.0,2.0,0.00046933860384911516
0.45,0.0,1.65,0.2,0.0,2.0,0.0005153466318671735
0.45,0.0,2.0,0.2,0.0,2.0,0.0005402415543202335
0.45,0.20000000000000007,0.6,0.2,0.4,0.6,0.016491095833101516
0.45,0.20000000000000007,0.95,0.2,0.4,1.2999999999999998,0.005507288658659973
0.45,0.20000000000000007,1.2999999999999998,0.2,0.4,2.0,0.0025175970583491453
0.45,0.20000000000000007,1.65,0.2,0.20000000000000007,1.2999999999999998,0.0019501918614469806
