source_coupling,source_field,source_temperature,target_coupling,target_field,target_temperature,fit_error
0.2,-0.4,0.6,1.2,-0.4,0.6,0.17836133798642742
0.2,-0.4,0.95,1.2,-0.4,0.6,0.05862797231060438
0.2,-0.4,1.2999999999999998,1.2,-0.4,0.6,0.021019759162511684
0.2,-0.4,1.65,1.2,-0.4,0.6,0.008087224907165545
0.2,-0.4,2.0,1.2,-0.4,0.6,0.0034069633005739232
0.2,-0.2,0.6,1.2,-0.4,0.6,0.04143193953532793
0.2,-0.2,0.95,1.2,-0.4,0.6,0.006427651798958779
0.2,-0.2,1.2999999999999998,1.2,-0.4,0.6,0.0019522664520958063
0.2,-0.2,1.65,0.45,-0.4,0.6,0.001737886360133315
0.2,-0.2,2.0,0.2,-0.4,0.6,0.0016692981942315246
0.2,0.0,0.6,1.2,0.0,0.6,0.0006402067261497361
0.2,0.0,0.95,1.2,0.0,0.6,0.00045095813350333
0.2,0.0,1.2999999999999998,1.2,0.0,0.6,0.0003831899740682232
0.2,0.0,1.65,1.2,0.0,0.6,0.0003487120482424919
0.2,0.0,2.0,1.2,0.0,0.6,0.000327905475911682
0.2,0.20000000000000007,0.6,1.2,0.4,0.6,0.04325769698403124
0.2,0.20000000000000007,0.95,1.2,0.4,0.6,0.006632828991324506
0.2,0.20000000000000007,1.2999999999999998,1.2,0.4,0.6,0.0015726799093503901
0.2,0.20000000000000007,1.65,0.7,0.4,0.6,0.0012882572776388092
0.2,0.20000000000000007,2.0,0.2,0.4,0.6,0.0011597570667998363
0.2,0.4,0.6,1.2,0.4,0.6,0.18227445641016335
0.2,0.4,0.95,1.2,0.4,0.6,0.06057536901050159
0.2,0.4,1.2999999999999998,1.2,0.4,0.6,0.02191220271510976
0.2,0.4,1.65,1.2,0.4,0.6,0.008397706986456347
0.2,0.4,2.0,1.2,0.4,0.6,0.003361171045369539
0.45,-0.4,0.6,1.2,-0.4,0.6,0.25027438499886023
0.45,-0.4,0.95,1.2,-0.4,0.6,0.09389194018574876
0.45,-0.4,1.2999999999999998,1.2,-0.4,0.6,0.03430108931428851
0.45,-0.4,1.65,1.2,-0.4,0.6,0.013340532077255787
0.45,-0.4,2.0,1.2,-0.4,0.6,0.005578289899713919
0.45,-0.2,0.6,1.2,-0.4,0.6,0.09069332292430492
0.45,-0.2,0.95,1.2,-0.4,0.6,0.015760406480788334
0.45,-0.2,1.2999999999999998,1.2,-0.4,0.6,0.0036922199852939533
0.45,-0.2,1.65,0.7,-0.4,0.6,0.002320513798251469
0.45,-0.2,2.0,0.2,-0.4,0.6,0.0019689906553856953
0.45,0.0,0.6,1.2,0.0,0.6,0.0022543288904763948
0.45,0.0,0.95,1.2,0.0,0.6,0.0009574612492097082
0.45,0.0,1.2999999999999998,1.2,0.0,0.6,0.0006640317514679875
0.45,0.0,1.65,1.2,0.0,0.6,0.0005386629931965778
0.45,0.0,2.0,1.2,0.0,0.6,0.00047003290697569697
0.45,0.20000000000000007,0.6,1.2,0.4,0.6,0.09554887996930901
0.45,0.20000000000000007,0.95,1.2,0.4,0.6,0.01678122224392249
0.45,0.20000000000000007,1.2999999999999998,1.2,0.4,0.6,0.0034951706820006583
0.45,0.20000000000000007,1.65,0.95,0.4,0.6,0.001750428390425968
0.45,0.20000000000000007,2.0,0.45,0.4,0.6,0.0014800536930845913
0.45,0.4,0.6,1.2,0.4,0.6,0.2562040100316008
0.45,0.4,0.95,1.2,0.4,0.6,0.09734092187446261
0.45,0.4,1.2999999999999998,1.2,0.4,0.6,0.03593768484131052
0.45,0.4,1.65,1.2,0.4,0.6,0.01401254067558298
0.45,0.4,2.0,1.2,0.4,0.6,0.00570845358410442
0.7,-0.4,0.6,1.2,-0.4,0.6,0.2906214335202165
0.7,-0.4,0.95,1.2,-0.4,0.6,0.13482762112057287
0.7,-0.4,1.2999999999999998,1.2,-0.4,0.6,0.052813899887656335
0.7,-0.4,1.65,1.2,-0.4,0.6,0.021004584892052945
0.7,-0.4,2.0,1.2,-0.4,0.6,0.008844916670817996
0.7,-0.2,0.6,1.2,-0.4,0.6,0.12924092972633544
0.7,-0.2,0.95,1.2,-0.4,0.6,0.03174941877860314
0.7,-0.2,1.2999999999999998,1.2,-0.4,0.6,0.0074527681367841676
0.7,-0.2,1.65,1.2,-0.4,0.6,0.0031767958229626625
0.7,-0.2,2.0,0.45,-0.4,0.6,0.0025162786272970956
0.7,0.0,0.6,1.2,0.0,0.6,0.011018167007716123
0.7,0.0,0.95,1.2,0.0,0.6,0.002156184940875923
0.7,0.0,1.2999999999999998,1.2,0.0,0.6,0.0011575860862267548
0.7,0.0,1.65,1.2,0.0,0.6,0.0008301474705976582
0.7,0.0,2.0,1.2,0.0,0.6,0.0006713528713910009
0.7,0.20000000000000007,0.6,1.2,0.4,0.6,0.13801488126717057
0.7,0.20000000000000007,0.95,1.2,0.4,0.6,0.03452473265765808
