model,coupling,field,temperature,t,mean_m,var_m,n
model_1,0.2,-0.4,1.65,12,-0.23778423674736315,0.0,30
model_1,0.2,-0.4,1.65,13,-0.23778423674736315,0.0,30
model_1,0.2,-0.4,1.65,14,-0.23778423674736315,0.0,30
model_1,0.2,-0.4,1.65,15,-0.23778423674736315,0.0,30
model_1,0.2,-0.4,1.65,16,-0.23778423674736315,0.0,30
model_1,0.2,-0.4,1.65,17,-0.23778423674736315,0.0,30
model_1,0.2,-0.4,1.65,18,-0.23778423674736315,0.0,30
model_1,0.2,-0.4,1.65,19,-0.23778423674736315,0.0,30
model_1,0.2,-0.4,1.65,20,-0.23778423674736315,0.0,30
model_1,0.2,-0.4,2.0,0,0.016666666666666666,0.24138888888888888,30
model_1,0.2,-0.4,2.0,1,-0.197375320224904,0.0,30
model_1,0.2,-0.4,2.0,2,-0.197375320224904,0.0,30
model_1,0.2,-0.4,2.0,3,-0.197375320224904,0.0,30
model_1,0.2,-0.4,2.0,4,-0.197375320224904,0.0,30
model_1,0.2,-0.4,2.0,5,-0.197375320224904,0.0,30
model_1,0.2,-0.4,2.0,6,-0.197375320224904,0.0,30
model_1,0.2,-0.4,2.0,7,-0.197375320224904,0.0,30
model_1,0.2,-0.4,2.0,8,-0.197375320224904,0.0,30
model_1,0.2,-0.4,2.0,9,-0.197375320224904,0.0,30
model_1,0.2,-0.4,2.0,10,-0.197375320224904,0.0,30
model_1,0.2,-0.4,2.0,11,-0.197375320224904,0.0,30
model_1,0.2,-0.4,2.0,12,-0.197375320224904,0.0,30
model_1,0.2,-0.4,2.0,13,-0.197375320224904,0.0,30
model_1,0.2,-0.4,2.0,14,-0.197375320224904,0.0,30
model_1,0.2,-0.4,2.0,15,-0.197375320224904,0.0,30
model_1,0.2,-0.4,2.0,16,-0.197375320224904,0.0,30
model_1,0.2,-0.4,2.0,17,-0.197375320224904,0.0,30
model_1,0.2,-0.4,2.0,18,-0.197375320224904,0.0,30
model_1,0.2,-0.4,2.0,19,-0.197375320224904,0.0,30
model_1,0.2,-0.4,2.0,20,-0.197375320224904,0.0,30
model_1,0.2,-0.2,0.6,0,0.016666666666666666,0.24138888888888888,30
model_1,0.2,-0.2,0.6,1,-0.32151273753163434,0.0,30
model_1,0.2,-0.2,0.6,2,-0.32151273753163434,0.0,30
model_1,0.2,-0.2,0.6,3,-0.32151273753163434,0.0,30
model_1,0.2,-0.2,0.6,4,-0.32151273753163434,0.0,30
model_1,0.2,-0.2,0.6,5,-0.32151273753163434,0.0,30
model_1,0.2,-0.2,0.6,6,-0.32151273753163434,0.0,30
model_1,0.2,-0.2,0.6,7,-0.32151273753163434,0.0,30
model_1,0.2,-0.2,0.6,8,-0.32151273753163434,0.0,30
model_1,0.2,-0.2,0.6,9,-0.32151273753163434,0.0,30
